605,Hamilton,602,FALSE,571-258-3705,39077 E Colonial Highway,Hamilton,VA,20158,600,39.13445824,-77.65091744,
606,Ashburn,601,TRUE,703-729-0006,20688 Ashburn Road,Ashburn,VA,20147,600,39.04494975,-77.48656151,
607,Aldie,603,FALSE,703-327-6712,39459 Little River Turnpike,Aldie,VA,20105,600,38.97493266,-77.63951681,
608,Philomont,602,FALSE,540-338-6506,36560 Philomont Road,Purcellville,VA,20132,600,39.05679895,-77.73992923,
609,Arcola,603,TRUE,703-327-2222,23675 Belmont Ridge Road,Brambleton,VA,20148,600,38.96217549,-77.53669166,
610,Lucketts,604,FALSE,571-258-3710,42429 Lucketts Road,Lucketts,VA,20176,600,39.21613585,-77.53147676,
611,Sterling Park,601,TRUE,571-258-3711,104 Commerce Street,Sterling,VA,20164,600,38.9996803,-77.40213226,
612,Lovettsville,602,TRUE,540-822-5258,12837 Berlin Turnpike,Lovettsville,VA,20180,600,39.26094693,-77.64438676,
613,Leesburg,604,TRUE,703-777-7185,143 Catoctin Circle Southeast,Leesburg,VA,20177,600,39.10714589,-77.55848327,
614,Purcellville,602,TRUE,571-258-3914,500 N Maple Avenue,Purcellville,VA,20134,600,39.14339297,-77.69772471,
615,Sterling Park,601,TRUE,571-258-3711,104 Commerce Street,Sterling,VA,20164,600,38.99979496,-77.40197374,
617,Hamilton,602,TRUE,540-338-3111,39077 E Colonial Highway,Hamilton,VA,20158,600,39.13435517,-77.65146499,
618,Cascades,601,TRUE,703-430-4013,46700 Middlefield Drive,Sterling,VA,20165,600,39.04832745,-77.38285378,
619,Dulles South Riding,603,FALSE,571-258-3719,25216 Loudoun County Parkway,Chantilly,VA,20152,600,38.91980879,-77.51705119,
620,Leesburg,604,TRUE,571-258-3720,61 Plaza Street Northeast,Leesburg,VA,20176,600,39.11030509,-77.54923831,
622,Lansdowne,604,TRUE,571-258-3722,19485 Sandridge Way,Leesburg,VA,20176,600,39.07679714,-77.48350758,
623,Moorefield,601,FALSE,571-258-3723,43496 Moorefield Boulevard,Ashburn,VA,20148,600,39.00852671,-77.49635082,
624,Kincora,601,FALSE,571-258-3724,45900 Russell Branch Parkway,Sterling,VA,20166,600,39.03019678,-77.43291801,
625,Cascades,601,TRUE,571-258-3724,46700 Middlefield Drive,Sterling,VA,20165,600,39.04810663,-77.38239923,
626,Loudoun Heights,602,FALSE,571-258-3726,13345 Harpers Ferry Road,Purcellville,VA,20132,600,39.24843314,-77.72674342,
627,Kirkpatrick Farms,603,FALSE,571-258-3727,41380 Gardenia Drive,Aldie,VA,20105,600,38.91399822,-77.57191821,
635,Kincora,601,TRUE,703-430-2539,45900 Russell Branch Parkway,Sterling,VA,20166,600,39.03017033,-77.43291045,
463,North Post,465,FALSE,703-806-6912,6100 Abbott Road,Fort Belvoir,VA,22060,460,38.71607788,-77.15152984,
464,Fort Belvoir North,465,FALSE,703-806-1911,7130 Barta Road,Springfield,VA,22153,460,38.7584778,-77.18991641,
465,South Post,465,FALSE,703-805-4911,9701 Gunston Road,Fort Belvoir,VA,22060,460,38.69293403,-77.14206065,
466,Davison Airfield,465,FALSE,703-806-7095,8915 Gavin Road,Fort Belvoir,VA,22060,460,38.71515663,-77.17632533,
