E522,9,522,500,FALSE
E522B,9,522,500,TRUE
E523,9,523,500,FALSE
E523B,9,523,500,TRUE
E524,9,524,500,FALSE
E524B,9,524,500,TRUE
E525,9,525,500,FALSE
E525B,9,525,500,TRUE
E526,9,526,500,FALSE
E526B,9,526,500,TRUE
E602,9,602,600,FALSE
E603,9,603,600,FALSE
E604,9,604,600,FALSE
E605,9,605,600,FALSE
E605B,9,605,600,TRUE
E606,9,606,600,FALSE
E606B,9,606,600,TRUE
E606C,9,606,600,TRUE
E607,9,607,600,FALSE
E608,9,608,600,FALSE
E609,9,609,600,FALSE
E609B,9,609,600,TRUE
E610,9,610,600,FALSE
E611,9,611,600,FALSE
E611B,9,611,600,TRUE
E612,9,612,600,FALSE
E612B,9,612,600,TRUE
E618,9,618,600,FALSE
E618B,9,618,600,TRUE
E619,9,619,600,FALSE
E620,9,620,600,FALSE
E620B,9,620,600,TRUE
E622,9,622,600,FALSE
E622B,9,622,600,TRUE
E624,9,624,600,FALSE
E626,9,626,600,FALSE
E627,9,627,600,FALSE
FB420,10,420,400,FALSE
LAB401,11,434,400,FALSE
FE210,12,210,200,FALSE
FE403,12,403,430,FALSE
FE426,12,426,400,FALSE
FE437,12,437,400,FALSE
FM301,12,301,300,FALSE
FM301B,12,301,300,FALSE
FM301C,12,301,300,FALSE
FM302,12,302,300,FALSE
FM302B,12,302,300,FALSE
FM302C,12,302,300,FALSE
FM304,12,304,300,FALSE
FM304B,12,304,300,FALSE
FM304C,12,304,300,FALSE
FM601,12,601,600,FALSE
HM101,13,101,100,FALSE
HM161,13,161,160,FALSE
HM209,13,209,200,FALSE
HM301,13,301,300,FALSE
HM440,13,440,400,FALSE
HM506,13,506,500,FALSE
HM619,13,619,600,FALSE
HMS440,14,440,400,FALSE
HMS506,14,506,500,FALSE
HMS619,14,619,600,FALSE
ICS434,15,434,400,FALSE
BTI105,16,105,100,FALSE
BTI201,16,201,200,FALSE
BTI412,16,412,400,FALSE
BTI412B,16,412,400,TRUE
